Bahnaric,Vietnamese
huĕn,ả
hơbŏ,ả
thĕng,ả
thẽng,ả
'ba,mạ
'ba,sàng
alô,a lô
ak,ác
'bah jơhah,mệt hết hơi
brư̆,ác
kơnĕ,ác
apo,ác
chư̆ kơnê̆,ác
kơtang,ác
'bak,làm dấu
brư̆ ,ác
kơ,ách
'bak,trắng
'bal,làm dấu
'bal,xẻo
ăch,ách
ăt,ách
gŏ che,ấm
gŏ ơ̆m,ấm
'bang,mâm gỗ
'bang,rồi
gŏche,ấm
'bao,bào
kơpĭn,ấm
'bap 'bap,mấp máy môi
'bar,ba
'bar,hai
'bat,lây bệnh
'bat,mặn
'bau,bảo
'bay,bảy gang
phĭ,ấm
'beh,làm quen
'beh,sứt
'beh,thầm
tơ gô̆,ấm
tơ tô̆,ấm
tơnŏ,ấm
'bel,cố gắng làm nhưng không được
'bel,cố gắng làm nhưng không được 
'bel,ăn cắp vặt
'ben,kỹ lượng
tơtô̆,ấm
'bep,mấp
'ber,đặc
'bet,diệt
'bet,giết
'bet,đâm
tơtỗ,ấm
ŏr,ấm
'bia,mượt mà
'biah,bằng phẳng
'biah,hết sạch
ơ̆m,ấm
'biah,thanh
'biap 'biap,nhai nhóp nhép
'biau,không để lại vết sẹo
'bich,nằm
'bich 'buch,tủm tỉm cười
'biep,đúng mọc
'bih,con rắn
ẽr,ấm
'bih klan,trăn
'bit,bênh
'bit,bênh vực
'bitì,cháy
'biâu,không để lại vết sẹo
'biêh,khéo
'biêh,khéo léo
'biêt,bĩu môi
dơnŏ,ấm
'biê̆,hiếm
'biê̆,hé
'biê̆,ra
gŏ rơ̆ đak,ấm
rơnuk,ấm
'biê̆,ít
'biê̆ loi,kém
'biĕr,ăn khít với nhau
'biĕt,tía chớp
'biơh,bằng phẳng
'biơp 'biơp,nhai ngấu nghiến
'biơt,bĩu môi
'biơ̆,hơn
'biơ̆,một ít 
'biữ,cao
'biữ,dâng
'biữ 'biữ,từ từ dâng cao 
'biữ 'biữ,đổ xuống
tơ,ấm
'blach lơlia 'blia lơ liau,bằng phẳng mênh mông
'blach lơliau,đất trống
tơlŏ,ấm
tơtŏ,ấm
'blang kua,cây gòn gai đỏ
phí,ấm
'blanh,trắng
'blanh tơhioy,da trắng nõn
'bleh,dây loại dây rừng có củ trên dây
'bleh,loại dây rừng
'bleh,trằn
'bleh,trọc
'blek,quét lửa thể sơ
'bleng,ngập nước
hiôm,ẩm
'blep,khít
'blet 'blet,ánh sáng lập lòe
'blet nhĕp,ánh sáng nhấp nháy
'blet nhĕp,ánh sáng nhấp nhảy
'blia,bằng
hngiôm,ẩm
'bliah,thanh
'bliau,trời mênh mông
'blil blol,trò chơi trẻ em
'bling,nhấp
hngôm,ẩm
'blip,lóe sáng
'blit 'blat,ánh sáng lớn lóe lên
'bliêng,lác
'blo,tự kiếm
'blo,đầy vun
'bloi 'bloi,lên mặt nước thở
'bloih,tụt
'bloih,xuống
'blon,thẳng đuột
lơngơp lơngơp,ẩm
rơbăp,ẩm
'blong hơ'blong,vật thon dài
hơuh,ẩm
'blonh,táy
'blop,liêm
'bloy 'bloy,khói thuốc phì phà
'bluich,trốn việc
'blut,buồn
'blut,nôn
'blut,nổi sùng
hơâm,ẩm
'blêt,mở mắt
'blêt,ánh sáng lớn 
'blêt 'blêt,ánh sáng lớn lóe lên
'blêu 'blao,cỏ nhiều này đặc
'blê̆ 'blă,vật lớn đi đi lại lại
'blôih,tụt
'blôih,xuống
'blôk,quay lại nhìn
'blông 'blang,nước lụt tràn ngập
'blôp,che kín
'blăn,bỡn
'blăn,đùa bỡn
hơăm,ẩm
'blĕk,mãi
'blĕk,nhấp
'blĕk,nhắc
'blĕk,nhớ
'blĕk 'blŏk,đổi ý bất thường
'blĕng,một loại ghè
'blĕr,bằng phẳng
'blĕt,nháy
'blĕt,nhấp
'blĕt,tih chớp
'blĭt 'blĭt,ngỡ ngàng
'blŏch 'bom,quệt
'blŏk,nhắc nhớ
'blŏk,nhớ
'blŏk,nhớ lại
'blŏng,dài
'blŏng,mi
lơngơp,ẩm
năr kiơ̆ kơkhĕi,âm lịch
'blŏng kơ'như̆,cao
'blŏ̆k ling lang,thao thức
'blŭk 'blŭk,tiếng nước chảy ùng ục
'blơch 'blach,vùng nước ngập
'blơr,láo
brống,âm thanh
'blơ̆n,đẫm
'blơ̆t 'blơ̆t,nháy mắt
kơpăng wang wơch,âm vang
'bo,thôi
'bo,đủ
'boch,nhân
jơva,âm vang
'boh,hiện ra
lĕl,âm vật
'boh,thấy
'boi,bắt
'boi,bắt chước
an,an
'bok,bok
hrâp,an
sa,an
'bok,linh
srơ̆p,an
xa,an
hoai,an
'bok,đức
'bok bul,nhân vật hoang đường sống trong rừng
khi`,an
khĭ,an
'bok kla kơđong,báo
'bok kla kơđong,con báo
'bok kla pơhum,con hổ
we`i,an
wĕi,an
an,án
'bom,bị bệnh
'bom,chạm
'bom,may
'bom,đụng
'bon,may mắn
pơiăp,án
'bot,mò
'bot,thò
'bot,đeo
'bot,đeo vào ngắn tay
'bra,rực
'brach,cười duyên
pơm,án
'brah,ít
'brah,ỏi
'brak,lắm
pơlôch,án mạng
an ninh,an ninh
'brang,sỡ
'brau,lành bẹnh
'bre rơhẽm,bé mới sinh
'breh,giận dữ hết sức 
'breh,kéo da non
'breh,vị the
'brenh 'bronh,rằn ri nhiều màu
'nhŏng,anh
'bri,đỏ
'brich 'bruch,tủm tỉm cười
'brih,râm
'brinh,vần
'brit 'brut,rắn trườn nhẹ nhàng
'bro,khàn khàn
'broch,ỉa són
'bronh,rằn ri nhiều màu
ih,anh
'bruch,hé môi cười
'brui,chẳng có gì cả
mơng,anh
'brut,chỉ con rắn uốn mình trướn đi
'brut,rắn uốn mình trướn đi
'brut,uốn mình
'bruơh,thẳng băng
'bruơk,tiếng xoạt
'bruơk,tiếng ột ột
'bruơng,da hồng hào
'brâu,hồng hào
'brê,đỏ
'brêh,đẩm
'brêk,vô
'brôk,lôm
nhŏng,anh
'nhong,anh
'brôk 'brôl,lan ben
'brôl,trắng
ahŏng,anh
'brôm,gầm sàn
'brông,sặc
'brônh,ri
'brônh,rằn ri
'brõi 'brỗi,từ từ bò đi
'brüh ’brah,vết nổi
'brăk 'brăl,chỉ khoang đen trắng
'brĕl,phộng
anho`ng,anh
'brũch 'brũch,sột soạt
'brũch 'brũch,tiếng sột soạt của bò
'brũk 'brăk,răng rắc
'brũk 'brăk,rắc
'brũk 'brăk,tiếng răng rắc cây gãy
'brũng 'brăng,ánh sáng hồng
'brơh,hãm hại
'brơh,hại
'brơh,khổ thân tôi
'brơk,đấy
'brơt,khè
'brơ̆u,màu vàng
anhong,anh
'brư̆,xấu
anhŏng,anh
kơih,anh
'brẽk,tiến
'brẽk 'brẽk,tiếng cây sắp rẫy kêu răng rắc
'brẽl,'brẽch
'brẽl,brẽch
'brẽl,brẽl
'brẽl 'brẽch,có hạt nhỏ
'brẽt,tiến bộ 
'brốk,lôm
'brổk 'brỡl,có khoang đen trắng
'brỡk,chạnh lòng
'brỡm,mũi tên
'brỡt,xù xì
'brữt 'mrũt,pực pực
'brữt 'mrũt,tiếng dây pực pực đất từng sợi
'bu,chồi non 
nuih,anh
'bu'bũl,tập trung một chỗ
'buah,tiếc rẻ
'buch,cười
'buch,mĩm
'buch,phau câu gà
'buch,vô
'buh,nung
'buh,nướng
'buh,thiêu
'buh,thui
'buh,đốt
'bui,bùi
sư,anh
'bui,mưa
'bui,phùn
'buih,men
'buih,men rượu
'buihxik,men rượu
'nhŏng ,anh
‘nhong,anh
'bum,đậu
brêng,ánh
'bum hla 'bơi,bắp cải
'bum hla bêy,bắp cải
'bung,kôn
'blik,ánh
'bur,cháy ngầm
'bur,chồi mọc
'but,bắt chước
'buâ,loại kiếm của người lào
blik,ánh
'buăn,cúng thần
'buăn,thề hứa 
'byỡt,láng bóng
'bâu,thơm
'bâu phu,thơm
'bêl,bộ phận sinh dục nữ
'bêt,mếu mó  
'bêy,cải
'bíỉk 'brăk 'brũk,gãy
'bíỉk 'brăk 'brũk,tiếng cây gãy răng rắc
drang,ánh
'bông,giỏ mồm
'bônh,bện
'bônh,dễ
'bônh tơlăi,bện dây thừng
'bôt,cồn cát
'bôt,từng nơi
rang,ánh
bơngai,ảnh
'bă,sực nhớ
'bă,vào lúc
chơphin,ảnh
'băch,trắng
'băi,ra
'băi,đào rộng thêm
hĭnh,ảnh
'băk,chát
'băk,mang
'băn,thanh gỗ dệt vải
kơhĭnh,ảnh
'băng,bùa ngải
'băng,bẩy lên
'băng,ngải
rup,ảnh
sa,ảnh
'băr,lá mồng tơi
'băr,quấn
'băr 'nghieu,dây rừng
'băr gõ,xoay
'băt,mặn
anh,ảnh
anho`ng mai pôm b`ă me`,anh chị
'bĕ,be
'bĕ 'bĕ,be be
'bĕ 'bĕ,tiếng be be của dê
anhŏng mai pôm 'bă mĕ,anh chị
